batch	kind	accession	file_level	n_sample_rows	n_papers	dois	file_format	page_url	example_download_url	dest_dir	how	skip_reason
E	GSE	GSE111672	Level 2	72	9	10.1038/s41467-023-37168-7; 10.1038/s41467-024-47152-4; 10.1038/s41467-025-62988-0; 10.1038/s42003-026-09841-2; 10.1093/bioinformatics/btae663; 10.1093/nar/gkaf1484; 10.1186/s12859-024-06003-1; 10.1186/s13073-025-01441-9; 10.1371/journal.pcbi.1013354	GEO Series supplementary / expression matrices (typical; verify on page)	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE111672		data/GSE/GSE111672	python3 download_geo.py	
E	GSE	GSE112369	Level 2	8	1	10.1158/2159-8290.CD-25-0778	GEO Series supplementary / expression matrices (typical; verify on page)	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE112369		data/GSE/GSE112369	python3 download_geo.py	
E	GSE	GSE112393	Level 2	24	3	10.1016/j.crmeth.2025.101205; 10.1038/s41467-022-35288-0; 10.1038/s41592-024-02284-9	GEO Series supplementary / expression matrices (typical; verify on page)	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE112393		data/GSE/GSE112393	python3 download_geo.py	
E	GSE	GSE113576	Level 2	12	2	10.1038/s41467-022-35288-0; 10.1093/nar/gkaf1484	mtx matrix (GEO)	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE113576		data/GSE/GSE113576	python3 download_geo.py	
E	GSE	GSE114727	Level 2	8	1	10.1038/s41467-023-44560-w	GEO Series supplementary / expression matrices (typical; verify on page)	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE114727		data/GSE/GSE114727	python3 download_geo.py	
E	GSE	GSE115469	Level 2	5	1	10.1097/HC9.0000000000000662	GEO Series supplementary / expression matrices (typical; verify on page)	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE115469		data/GSE/GSE115469	python3 download_geo.py	
E	GSE	GSE115746	Level 2	32	4	10.1002/advs.202413124; 10.1038/s41467-024-47152-4; 10.1101/gr.280532.125; 10.1186/s12859-024-06003-1	GEO Series supplementary / expression matrices (typical; verify on page)	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE115746		data/GSE/GSE115746	python3 download_geo.py	
E	GSE	GSE115978	Level 2	32	4	10.1038/s41467-023-44560-w; 10.1038/s41467-024-54710-3; 10.1038/s41586-022-05242-7; 10.1186/s13073-025-01441-9	GEO Series supplementary / expression matrices (typical; verify on page)	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE115978		data/GSE/GSE115978	python3 download_geo.py	
E	GSE	GSE116250	Level 2	8	1	10.1371/journal.pone.0349040	GEO Series supplementary / expression matrices (typical; verify on page)	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE116250		data/GSE/GSE116250	python3 download_geo.py	
E	GSE	GSE116470	Level 2	8	1	10.1093/nar/gkaf1484	GEO Series supplementary / expression matrices (typical; verify on page)	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE116470		data/GSE/GSE116470	python3 download_geo.py	
